Time,Price,Unit
0:00,0.68,CNY/kWh
0:15,0.68,CNY/kWh
0:30,0.68,CNY/kWh
0:45,0.68,CNY/kWh
1:00,0.68,CNY/kWh
1:15,0.68,CNY/kWh
1:30,0.68,CNY/kWh
1:45,0.68,CNY/kWh
2:00,0.68,CNY/kWh
2:15,0.68,CNY/kWh
2:30,0.68,CNY/kWh
2:45,0.68,CNY/kWh
3:00,0.68,CNY/kWh
3:15,0.68,CNY/kWh
3:30,0.68,CNY/kWh
3:45,0.68,CNY/kWh
4:00,0.68,CNY/kWh
4:15,0.68,CNY/kWh
4:30,0.68,CNY/kWh
4:45,0.68,CNY/kWh
5:00,0.68,CNY/kWh
5:15,0.68,CNY/kWh
5:30,0.68,CNY/kWh
5:45,0.68,CNY/kWh
6:00,1.15,CNY/kWh
6:15,1.15,CNY/kWh
6:30,1.15,CNY/kWh
6:45,1.15,CNY/kWh
7:00,1.15,CNY/kWh
7:15,1.15,CNY/kWh
7:30,1.15,CNY/kWh
7:45,1.15,CNY/kWh
8:00,0.68,CNY/kWh
8:15,0.68,CNY/kWh
8:30,0.68,CNY/kWh
8:45,0.68,CNY/kWh
9:00,0.68,CNY/kWh
9:15,0.68,CNY/kWh
9:30,0.68,CNY/kWh
9:45,0.68,CNY/kWh
10:00,0.35,CNY/kWh
10:15,0.35,CNY/kWh
10:30,0.35,CNY/kWh
10:45,0.35,CNY/kWh
11:00,0.35,CNY/kWh
11:15,0.35,CNY/kWh
11:30,0.35,CNY/kWh
11:45,0.35,CNY/kWh
12:00,0.35,CNY/kWh
12:15,0.35,CNY/kWh
12:30,0.35,CNY/kWh
12:45,0.35,CNY/kWh
13:00,0.35,CNY/kWh
13:15,0.35,CNY/kWh
13:30,0.35,CNY/kWh
13:45,0.35,CNY/kWh
14:00,0.35,CNY/kWh
14:15,0.35,CNY/kWh
14:30,0.35,CNY/kWh
14:45,0.35,CNY/kWh
15:00,0.35,CNY/kWh
15:15,0.35,CNY/kWh
15:30,0.35,CNY/kWh
15:45,0.35,CNY/kWh
16:00,0.68,CNY/kWh
16:15,0.68,CNY/kWh
16:30,0.68,CNY/kWh
16:45,0.68,CNY/kWh
17:00,0.68,CNY/kWh
17:15,0.68,CNY/kWh
17:30,0.68,CNY/kWh
17:45,0.68,CNY/kWh
18:00,1.15,CNY/kWh
18:15,1.15,CNY/kWh
18:30,1.15,CNY/kWh
18:45,1.15,CNY/kWh
19:00,1.15,CNY/kWh
19:15,1.15,CNY/kWh
19:30,1.15,CNY/kWh
19:45,1.15,CNY/kWh
20:00,1.15,CNY/kWh
20:15,1.15,CNY/kWh
20:30,1.15,CNY/kWh
20:45,1.15,CNY/kWh
21:00,1.15,CNY/kWh
21:15,1.15,CNY/kWh
21:30,1.15,CNY/kWh
21:45,1.15,CNY/kWh
22:00,1.15,CNY/kWh
22:15,1.15,CNY/kWh
22:30,1.15,CNY/kWh
22:45,1.15,CNY/kWh
23:00,0.68,CNY/kWh
23:15,0.68,CNY/kWh
23:30,0.68,CNY/kWh
23:45,0.68,CNY/kWh
